rank,keyword_id,surface_form,canonical_concept,tf,df,prevalence,character_count,chapter_count,max_chapter_share,quartile_1_df,quartile_2_df,quartile_3_df,quartile_4_df,story_local_flag,frequency_tier,include_core,include_main,include_extended,word_type,semantic_categories,segmentation_source,notes
1,lpw_8af2350cfd,的,的,644,596,0.21008107155445893,1,27,0.11577181208053691,159,125,130,182,false,core,true,true,true,function,function,intl_zh_word,
2,lpw_b70bb4acc0,我,我,536,526,0.1854071201973916,1,27,0.12547528517110265,165,106,102,153,false,core,true,true,true,pronoun,pronoun,intl_zh_word,
3,lpw_8b7b91e000,他,他,314,311,0.10962284102925626,1,24,0.15755627009646303,78,77,59,97,false,core,true,true,true,pronoun,pronoun,intl_zh_word,
4,lpw_ccca744613,说,说,289,288,0.10151568558336271,1,27,0.1423611111111111,50,65,98,75,false,core,true,true,true,verb_or_predicate,speech,intl_zh_word,
5,lpw_b2dd27e84f,了,了,263,262,0.09235107507930913,1,26,0.11450381679389313,81,66,46,69,false,core,true,true,true,function,function,intl_zh_word,
6,lpw_a0c7716669,你,你,217,209,0.0736693690518153,1,19,0.20095693779904306,44,47,57,61,false,core,true,true,true,pronoun,pronoun,intl_zh_word,
7,lpw_87f2a033cf,小王子,小王子,176,176,0.062037363412054986,3,25,0.11931818181818182,25,56,56,39,false,core,true,true,true,noun_or_entity,narrative_character,custom_phrase,
8,lpw_d409ab2ab3,这,这,171,171,0.06027493831512161,1,25,0.07602339181286549,58,48,33,32,false,core,true,true,true,pronoun,pronoun,intl_zh_word,
9,lpw_b5141d3d19,是,是,143,143,0.05040535777229468,1,23,0.1048951048951049,33,35,48,27,false,core,true,true,true,function,function,intl_zh_word,
10,lpw_2f9d9872e5,就,就,127,127,0.04476559746210786,1,26,0.08661417322834646,40,30,32,25,false,core,true,true,true,function,function,intl_zh_word,
11,lpw_12404a0b63,在,在,123,123,0.04335565738456116,1,25,0.0975609756097561,34,16,32,41,false,core,true,true,true,function,function,intl_zh_word,
12,lpw_74570c7270,对,对,109,108,0.03806838209376102,1,22,0.1388888888888889,24,29,14,41,false,core,true,true,true,function,function,intl_zh_word,
13,lpw_9e5bf0d2d9,着,着,98,98,0.03454353189989425,1,23,0.15306122448979592,20,26,16,36,false,core,true,true,true,function,function,intl_zh_word,
14,lpw_bdbd41e490,地,地,93,91,0.032076136764187524,1,24,0.14285714285714285,35,23,11,22,false,core,true,true,true,function,function,intl_zh_word,
15,lpw_5ba1e3c0eb,会,会,85,85,0.029961226647867465,1,21,0.1411764705882353,27,9,26,23,false,core,true,true,true,verb_or_predicate,negation_modality,intl_zh_word,
16,lpw_e1dbc1c99f,一个,一个,85,85,0.029961226647867465,2,23,0.10588235294117647,25,21,26,13,false,core,true,true,true,function,function|time_quantity,intl_zh_word,
17,lpw_c1b52e0e64,什么,什么,78,77,0.027141346492774058,2,20,0.16883116883116883,18,24,16,19,false,core,true,true,true,pronoun,pronoun|interrogative,intl_zh_word,
18,lpw_90ce0f66f0,有,有,78,77,0.027141346492774058,1,22,0.15584415584415584,26,14,21,16,false,core,true,true,true,other,other,intl_zh_word,
19,lpw_50f5d65d57,人,人,75,75,0.026436376454000706,1,21,0.12,17,23,25,10,false,core,true,true,true,other,other,intl_zh_word,
20,lpw_059ab0f707,花儿,花,75,74,0.02608389143461403,2,16,0.24324324324324326,18,26,20,10,false,core,true,true,true,noun_or_entity,narrative_character|concrete_entity,custom_phrase,
21,lpw_7e9260e925,它,它,73,72,0.02537892139584068,1,20,0.1111111111111111,22,17,16,17,false,core,true,true,true,pronoun,pronoun,intl_zh_word,
22,lpw_02811cec0b,呢,呢,70,70,0.024673951357067323,1,23,0.11428571428571428,16,24,23,7,false,core,true,true,true,function,function|interrogative,intl_zh_word,
23,lpw_db5ba671d2,上,上,70,70,0.024673951357067323,1,24,0.12857142857142856,16,15,20,19,false,core,true,true,true,function,function,intl_zh_word,
24,lpw_10518f8f0a,他们,他们,69,67,0.023616496298907295,2,17,0.208955223880597,22,5,22,18,false,core,true,true,true,pronoun,pronoun,intl_zh_word,
25,lpw_e71ce5deab,又,又,63,61,0.02150158618258724,1,21,0.14754098360655737,10,15,16,20,false,core,true,true,true,function,function,intl_zh_word,
26,lpw_6d8229118c,来,来,58,58,0.020444131124427212,1,16,0.13793103448275862,14,15,19,10,false,core,true,true,true,verb_or_predicate,physical_action,intl_zh_word,
27,lpw_f2b91797ea,很,很,59,56,0.01973916108565386,1,22,0.125,18,10,16,12,false,core,true,true,true,other,other,intl_zh_word,
28,lpw_6a9fec7faf,星星,星星,56,56,0.01973916108565386,2,8,0.39285714285714285,7,15,5,29,false,core,true,true,true,noun_or_entity,concrete_entity,custom_phrase,
29,lpw_ad37574404,让,让,54,54,0.01903419104688051,1,18,0.14814814814814814,11,20,12,11,false,core,true,true,true,other,other,intl_zh_word,
30,lpw_2ab425e0c6,她,她,53,53,0.018681706027493833,1,9,0.5283018867924528,0,33,17,3,false,core,true,true,true,pronoun,pronoun,intl_zh_word,
31,lpw_62f2d6c1a1,星球,星球,53,53,0.018681706027493833,2,16,0.20754716981132076,23,16,12,2,false,core,true,true,true,noun_or_entity,place,custom_phrase,
32,lpw_6e55fb9d8a,给,给,51,51,0.017976735988720478,1,16,0.19607843137254902,21,9,8,13,false,core,true,true,true,other,other,intl_zh_word,
33,lpw_5a2362a202,那,那,50,50,0.017624250969333802,1,20,0.14,19,12,8,11,false,core,true,true,true,pronoun,pronoun,intl_zh_word,
34,lpw_de9f18b00a,画,画,55,49,0.017271765949947126,1,8,0.40816326530612246,42,0,0,7,true,main,false,false,false,verb_or_predicate,physical_action,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
35,lpw_3a116815bc,个,个,48,48,0.01691928093056045,1,18,0.125,14,14,9,11,false,main,false,true,true,other,other,intl_zh_word,
36,lpw_975f35218e,要,要,47,47,0.016566795911173774,1,18,0.1702127659574468,14,16,6,11,false,main,false,true,true,verb_or_predicate,negation_modality,intl_zh_word,
37,lpw_658605835b,也,也,47,47,0.016566795911173774,1,19,0.1702127659574468,16,6,16,9,false,main,false,true,true,function,function,intl_zh_word,
38,lpw_979e2bc35b,这个,这个,47,47,0.016566795911173774,2,19,0.1702127659574468,15,16,10,6,false,main,false,true,true,function,function,intl_zh_word,
39,lpw_51a75f4634,一,一,46,46,0.016214310891787098,1,20,0.15217391304347827,9,15,12,10,false,main,false,true,true,other,other,intl_zh_word,
40,lpw_38ca4a9c76,可是,可是,45,45,0.015861825872400422,2,21,0.1111111111111111,11,14,9,11,false,main,false,true,true,function,function,intl_zh_word,
41,lpw_8b9cefa38e,可,可,43,43,0.01515685583362707,1,17,0.11627906976744186,9,14,12,8,false,main,false,true,true,other,other,intl_zh_word,
42,lpw_279e8b3573,没,没,43,43,0.01515685583362707,1,19,0.11627906976744186,14,10,5,14,false,main,false,true,true,verb_or_predicate,negation_modality,intl_zh_word,
43,lpw_99ae21ea6c,去,去,43,43,0.01515685583362707,1,19,0.13953488372093023,7,10,14,12,false,main,false,true,true,verb_or_predicate,physical_action,intl_zh_word,
44,lpw_d7b6472b11,知道,知道,43,43,0.01515685583362707,2,18,0.11627906976744186,17,4,7,15,false,main,false,true,true,verb_or_predicate,cognition,custom_phrase,
45,lpw_71b1ed1114,得,得,41,40,0.014099400775467043,1,15,0.15,15,8,12,5,false,main,false,true,true,function,function,intl_zh_word,
46,lpw_f777893480,过,过,40,40,0.014099400775467043,1,19,0.2,13,4,12,11,false,main,false,true,true,other,other,intl_zh_word,
47,lpw_8a5d477bda,你们,你们,40,39,0.013746915756080367,2,9,0.2564102564102564,4,0,26,9,false,main,false,true,true,pronoun,pronoun,intl_zh_word,
48,lpw_38e917f021,国王,国王,38,38,0.013394430736693691,2,6,0.7894736842105263,0,34,4,0,true,main,false,false,false,noun_or_entity,narrative_character,custom_phrase,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
49,lpw_3d7114281f,和,和,38,38,0.013394430736693691,1,17,0.21052631578947367,7,8,20,3,false,main,false,true,true,function,function,intl_zh_word,
50,lpw_f3f5126487,回答,回答,38,38,0.013394430736693691,2,18,0.23684210526315788,9,15,5,9,false,main,false,true,true,verb_or_predicate,speech,custom_phrase,
